Type,Block,Trial,ObjectiveValue,Uncertainty,Response,Fishing,Feedback,RT,Zgain,Zloss,run_id,sub_id
2,3,58,-2,4,1,2,3,8.503500e-01,2.0,4.0,1,Sub111
2,3,59,-2,2,1,2,3,7.076636e-01,3.0,5.0,1,Sub111
2,3,60,-4,4,1,2,3,7.772847e-01,1.0,5.0,1,Sub111
1,4,61,-1,3,1,2,3,1.108878e+00,3.0,4.0,1,Sub111
1,4,62,3,1,1,0,1,5.675992e-01,6.0,3.0,1,Sub111
1,4,63,-1,1,1,1,2,8.514418e-01,4.0,5.0,1,Sub111
1,4,64,4,2,1,0,2,6.862377e-01,6.0,2.0,1,Sub111
1,4,65,3,5,1,0,2,7.342228e-01,4.0,1.0,1,Sub111
1,4,66,-4,4,1,2,3,8.832921e-01,1.0,5.0,1,Sub111
1,4,67,-3,3,1,2,3,5.522536e-01,2.0,5.0,1,Sub111
1,4,68,-3,3,1,2,3,6.577895e-01,2.0,5.0,1,Sub111
1,4,69,1,9,1,1,1,8.726256e-01,1.0,0.0,1,Sub111
1,4,70,1,9,1,1,3,1.282452e+00,1.0,0.0,1,Sub111
1,4,71,4,2,1,0,2,5.437328e-01,6.0,2.0,1,Sub111
1,4,72,-3,5,1,2,3,6.497785e-01,1.0,4.0,1,Sub111
1,4,73,2,6,1,0,2,6.068209e-01,3.0,1.0,1,Sub111
1,4,74,-2,4,1,1,3,7.736612e-01,2.0,4.0,1,Sub111
1,4,75,3,7,1,0,1,6.075869e-01,3.0,0.0,1,Sub111
1,4,76,2,6,1,0,2,7.439440e-01,3.0,1.0,1,Sub111
1,4,77,-4,4,1,2,3,7.157691e-01,1.0,5.0,1,Sub111
1,4,78,2,8,1,1,3,8.061251e-01,2.0,0.0,1,Sub111
1,4,79,-2,6,1,2,3,8.921576e-01,1.0,3.0,1,Sub111
1,4,80,4,4,1,0,1,6.532854e-01,5.0,1.0,1,Sub111
2,1,1,4,4,1,0,1,0.7191782,5.0,1.0,2,Sub111
2,1,2,-4,2,1,2,3,0.6315462,2.0,6.0,2,Sub111
2,1,3,-2,6,1,1,3,1.022545,1.0,3.0,2,Sub111
2,1,4,-4,2,1,2,3,0.690429,2.0,6.0,2,Sub111
2,1,5,3,3,1,0,1,0.5812551,5.0,2.0,2,Sub111
2,1,6,-3,5,1,2,3,0.6525702,1.0,4.0,2,Sub111
2,1,7,-1,5,1,1,1,0.7105217,2.0,3.0,2,Sub111
2,1,8,4,2,1,0,2,0.5949293,6.0,2.0,2,Sub111
2,1,9,-2,2,1,1,3,0.8147492,3.0,5.0,2,Sub111
2,1,10,-1,5,1,1,3,0.897258,2.0,3.0,2,Sub111
2,1,11,2,8,1,0,1,0.7384314,2.0,0.0,2,Sub111
2,1,12,1,1,1,0,1,1.189462,5.0,4.0,2,Sub111
2,1,13,-4,4,1,1,3,0.7690685,1.0,5.0,2,Sub111
